name,CAGR,vol,sharpe,maxDD,total,avg_exp,turn/yr,window
QQQ,0.20440084927481905,0.22244250887071343,0.9478327657845519,0.35053088762050066,6.2972714161120225,1.0,0.09348245516088072,2016-26
A1 hold20 + deferred buy leg,0.31646755068801813,0.2709550606375085,1.1512602186835967,0.4263486901206589,17.88328766461639,0.8197811299191872,13.488474470273196,2016-26
A3 A1 + trend brake (hysteresis) -> cash,0.2992420337292099,0.24802628804816065,1.1804481722268403,0.3163901052189132,15.403999851086201,0.7453526450096861,12.973812613489955,2016-26
A3q A1 + trend brake -> park in QQQ,0.31955446511883534,0.27414777253135597,1.1494223501451677,0.4266278155097728,18.36187969657901,0.8408955499558112,14.447311738134127,2016-26
vol_trend fixed: hysteresis + QQQx1.5 budget + SPY residual,0.24849275840726004,0.22325704695599066,1.1065722105575682,0.3066856595124603,9.715934482742533,0.7492248223298686,14.436522029855096,2016-26
"vol_trend fixed: hysteresis + QQQx2 budget, no residual",0.26217493602541064,0.23295738476312117,1.1168417594052762,0.30347379106471206,11.039678582132924,0.6746990961082174,13.710632364587754,2016-26
"vol_trend as GPT built it (min budget), now with hysteresis",0.14510367756624576,0.1312201892860834,1.09866733395779,0.2174471529101476,3.254470562387014,0.4009653471028832,9.53346046350478,2016-26
QQQ,0.2444419823682562,0.2200482121413862,1.1049194589110114,0.2854483529215285,1.9793361274242272,1.0,0.20011784717667075,2016-20
A1 hold20 + deferred buy leg,0.25169329626783776,0.22792535602233796,1.1000825936373302,0.33858504390493127,2.067014564197634,0.825972063417548,13.947895644154883,2016-20
A3 A1 + trend brake (hysteresis) -> cash,0.21965708395948425,0.20788836562114799,1.0600448719531743,0.29659260970950385,1.6946619277551673,0.7706462651405559,13.875631901834337,2016-20
A3q A1 + trend brake -> park in QQQ,0.26596794834793513,0.23025322402385195,1.1403323920367376,0.31010763822201215,2.2456424381944227,0.8462083937769614,15.37013793811625,2016-20
vol_trend fixed: hysteresis + QQQx1.5 budget + SPY residual,0.20718314924381276,0.2010980432227601,1.037808939948948,0.2860301534943278,1.5598636278045341,0.8015805030930411,15.361963676974815,2016-20
"vol_trend fixed: hysteresis + QQQx2 budget, no residual",0.20375575060050322,0.19580663873925333,1.0458074779233906,0.27558198471779605,1.5237868945362165,0.7222947723671631,14.509078529021728,2016-20
"vol_trend as GPT built it (min budget), now with hysteresis",0.12599861288942193,0.1362810116418395,0.9394594140885428,0.20877066929735544,0.8083406581903059,0.4618532113396393,11.11492005516328,2016-20
QQQ,0.17388714703607944,0.2245132669243702,0.8264004529028472,0.3505308876205008,1.490044295477856,1.0,0.17555666091230948,2021-26
A1 hold20 + deferred buy leg,0.32899038333749364,0.3040006954162311,1.0885217326633179,0.4209249941470594,4.045428781036552,0.8125769465396869,12.669877241475117,2021-26
A3 A1 + trend brake (hysteresis) -> cash,0.3246227035235858,0.2794598122672571,1.1467350432136076,0.31299365066787055,3.9517957797860994,0.7216188816755038,11.89676821938372,2021-26
A3q A1 + trend brake -> park in QQQ,0.33113344143022627,0.3087638766275944,1.081603690375266,0.39661812215478875,4.091901851203675,0.8359132518255932,13.370857890654422,2021-26
vol_trend fixed: hysteresis + QQQx1.5 budget + SPY residual,0.2697406185829514,0.23859670568387675,1.1210514836767544,0.2968851837651302,2.892134239444461,0.6940950962376767,13.29958446183689,2021-26
"vol_trend fixed: hysteresis + QQQx2 budget, no residual",0.28939073804363247,0.26222784027486074,1.1014534993842717,0.28800546704846,3.2475708559240974,0.6296507524826881,12.70812995335243,2021-26
"vol_trend as GPT built it (min budget), now with hysteresis",0.1648216479762623,0.12619371350171762,1.2725104186553173,0.1966408644161688,1.3825812937229696,0.3355270703054442,7.706288618869515,2021-26
